route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     
10T0020C7  ,C7  ,Principe Pio                            -Alcala de Henares                       ,2,D10320,FFFFFF                                    
10T0021C8  ,C8  ,Atocha                                  -Cercedilla                              ,2,706D75,FFFFFF                                    
10T0022C8  ,C8  ,Cercedilla                              -Atocha                                  ,2,706D75,FFFFFF                                    
10T0023C3a ,C3a ,Atocha                                  -El Escorial                             ,2,CE7BA0,FFFFFF                                    
10T0024C3a ,C3a ,El Escorial                             -Atocha                                  ,2,CE7BA0,FFFFFF                                    
10T0025C9  ,C9  ,Cercedilla                              -Cotos                                   ,2,F3972A,FFFFFF                                    
10T0026C9  ,C9  ,Cotos                                   -Cercedilla                              ,2,F3972A,FFFFFF                                    
10T0027C3a ,C3a ,Atocha                                  -El Escorial                             ,2,CE7BA0,FFFFFF                                    
10T0028C3a ,C3a ,El Escorial                             -Atocha                                  ,2,CE7BA0,FFFFFF                                    
10T0029C3  ,C3  ,Aranjuez                                -                                        ,2,7E4084,FFFFFF                                    
10T0030C3  ,C3  ,                                        -Aranjuez                                ,2,7E4084,FFFFFF                                    
10T0031C2  ,C2  ,Guadalajara                             -                                        ,2,0F8C2E,FFFFFF                                    
10T0032C2  ,C2  ,                                        -Guadalajara                             ,2,0F8C2E,FFFFFF                                    
20T0001C1  ,C1  ,Gijon (Sanz Crespo)                     -Puente L.Fierros                        ,2,EC3541,FFFFFF                                    
20T0002C1  ,C1  ,Puente L.Fierros                        -Gijon (Sanz Crespo)                     ,2,EC3541,FFFFFF                                    
20T0003C2  ,C2  ,Oviedo                                  -El Entrego                              ,2,009746,FFFFFF                                    
20T0004C2  ,C2  ,El Entrego                              -Oviedo                                  ,2,009746,FFFFFF                                    
20T0005C3  ,C3  ,Llamaquique                             -San Juan de Nieva                       ,2,025FC6,FFFFFF                                    
20T0006C3  ,C3  ,San Juan de Nieva                       -Llamaquique                             ,2,025FC6,FFFFFF                                    
20T0007C2  ,C2  ,Gijon (Sanz Crespo)                     -                                        ,2,00FF00,FFFFFF                                    
20T0008C2  ,C2  ,                                        -Gijon (Sanz Crespo)                     ,2,00FF00,FFFFFF                                    
30T0001C1  ,C1  ,Lora del Rio                            -Lebrija                                 ,2,4C90C3,FFFFFF                                    
30T0002C1  ,C1  ,Lebrija                                 -Lora del Rio                            ,2,4C90C3,FFFFFF                                    
30T0003C2  ,C2  ,Santa Justa                             -Cartuja                                 ,2,067B34,FFFFFF                                    
30T0004C2  ,C2  ,Cartuja                                 -Santa Justa                             ,2,067B34,FFFFFF                                    
30T0005C3  ,C3  ,Santa Justa                             -Cazalla-Constantina                     ,2,E4242D,FFFFFF                                    
30T0006C3  ,C3  ,Cazalla-Constantina                     -Santa Justa                             ,2,E4242D,FFFFFF                                    
30T0007C4  ,C4  ,Santa Justa                             -Santa Justa                             ,2,8E2182,FFFFFF                                    
30T0009C5  ,C5  ,Jardines de Hercules                    -Benacazon                               ,2,073588,FFFFFF                                    
30T0010C5  ,C5  ,Benacazon                               -Jardines de Hercules                    ,2,073588,FFFFFF                                    
30T0011C3  ,C3  ,Santa Justa                             -Cazalla-Constantina                     ,2,E4242D,FFFFFF                                    
30T0012C3  ,C3  ,Cazalla-Constantina                     -Santa Justa                             ,2,E4242D,FFFFFF                                    
30T0013C1  ,C1  ,Utrera                                  -                                        ,2,4C90C3,FFFFFF                                    
30T0014C1  ,C1  ,                                        -Utrera                                  ,2,4C90C3,FFFFFF                                    
30T0015C1  ,C1  ,Utrera                                  -                                        ,2,4C90C3,FFFFFF                                    
30T0016C1  ,C1  ,                                        -Utrera                                  ,2,4C90C3,FFFFFF                                    
31T0001C1  ,C1  ,Cádiz                                   -Aeropuerto de Jerez                     ,2,FF1B1F,FFFFFF                                    
31T0002C1  ,C1  ,Aeropuerto de Jerez                     -Cádiz                                   ,2,FF1B1F,FFFFFF                                    
31T0003C1a ,C1a ,Las Aletas                              -Universidad                             ,2,FF1B1F,FFFFFF                                    
31T0004C1a ,C1a ,Universidad                             -Las Aletas                              ,2,FF1B1F,FFFFFF                                    
31T0005T1  ,T1  ,Cádiz                                   -Pelagatos                               ,2,00B700,FFFFFF                                    
31T0006T1  ,T1  ,Pelagatos                               -Cádiz                                   ,2,00B700,FFFFFF                                    
32T0001C1  ,C1  ,Málaga-Centro Alameda                   -Fuengirola                              ,2,1E9AD6,FFFFFF                                    
32T0002C1  ,C1  ,Fuengirola                              -Málaga-Centro Alameda                   ,2,1E9AD6,FFFFFF                                    
32T0003C2  ,C2  ,Málaga-Centro Alameda                   -Álora                                   ,2,007D2B,FFFFFF                                    
32T0004C2  ,C2  ,Álora                                   -Málaga-Centro Alameda                   ,2,007D2B,FFFFFF                                    
32T0005C2  ,C2  ,                                        -                                        ,2,007D2B,FFFFFF                                    
32T0006C2  ,C2  ,                                        -                                        ,2,007D2B,FFFFFF                                    
40T0001C1  ,C1  ,Valencia Nord                           -Platja i Grau de Gandia                 ,2,7AB3DE,FFFFFF                                    
40T0002C1  ,C1  ,Platja i Grau de Gandia                 -Valencia Nord                           ,2,7AB3DE,FFFFFF                                    
40T0005C2  ,C2  ,Valencia Nord                           -Moixent                                 ,2,F79529,FFFFFF                                    
40T0006C2  ,C2  ,Moixent                                 -Valencia Nord                           ,2,F79529,FFFFFF                                    
40T0007C3  ,C3  ,Valencia Nord                           -Utiel                                   ,2,7A2780,FFFFFF                                    
40T0008C3  ,C3  ,Utiel                                   -Valencia Nord                           ,2,7A2780,FFFFFF                                    
40T0009C4  ,C4  ,Valencia - Sant Isidre                  -Xirivella - L'Alter                     ,2,D4021D,FFFFFF                                    
40T0010C4  ,C4  ,Xirivella - L'Alter                     -Valencia - Sant Isidre                  ,2,D4021D,FFFFFF                                    
40T0011C5  ,C5  ,Valencia Nord                           -Caudiel                                 ,2,018A27,FFFFFF                                    
40T0012C5  ,C5  ,Caudiel                                 -Valencia Nord                           ,2,018A27,FFFFFF                                    
40T0013C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,0D3386,FFFFFF                                    
40T0014C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,0D3386,FFFFFF                                    
40T0015C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,0D3386,FFFFFF                                    
40T0016C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,0D3386,FFFFFF                                    
40T0017C3  ,C3  ,Valencia Nord                           -Utiel                                   ,2,7A2780,FFFFFF                                    
40T0018C3  ,C3  ,Utiel                                   -Valencia Nord                           ,2,7A2780,FFFFFF                                    
40T0019C5  ,C5  ,Valencia Nord                           -Caudiel                                 ,2,018A27,FFFFFF                                    
40T0020C5  ,C5  ,Caudiel                                 -Valencia Nord                           ,2,018A27,FFFFFF                                    
40T0021C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,0D3386,FFFFFF                                    
40T0022C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,0D3386,FFFFFF                                    
40T0023C2  ,C2  ,Xativa                                  -                                        ,2,F79529,FFFFFF                                    
40T0024C2  ,C2  ,                                        -Xativa                                  ,2,F79529,FFFFFF                                    
41T0001C1  ,C1  ,Murcia del Carmen                       -Alacant Terminal                        ,2,73B6E0,FFFFFF                                    
41T0002C1  ,C1  ,Alacant Terminal                        -Murcia del Carmen                       ,2,73B6E0,FFFFFF                                    
41T0003C2  ,C2  ,Murcia del Carmen                       -Aguilas                                 ,2,108C2C,FFFFFF                                    
41T0004C2  ,C2  ,Aguilas                                 -Murcia del Carmen                       ,2,108C2C,FFFFFF                                    
41T0005C3  ,C3  ,Sant Vicent Centre                      -Alacant Terminal                        ,2,7D2486,FFFFFF                                    
41T0006C3  ,C3  ,Alacant Terminal                        -Sant Vicent Centre                      ,2,7D2486,FFFFFF                                    
41T0007C2  ,C2  ,Murcia del Carmen                       -Aguilas                                 ,2,108C2C,FFFFFF                                    
41T0008C2  ,C2  ,Aguilas                                 -Murcia del Carmen                       ,2,108C2C,FFFFFF                                    
41T0009C2  ,C2  ,Murcia del Carmen                       -Orihuela Miguel Hernández               ,2,108C2C,FFFFFF                                    
41T0010C2  ,C2  ,Orihuela Miguel Hernández               -Murcia del Carmen                       ,2,108C2C,FFFFFF                                    
50T0001R1  ,R1  ,Molins de Rei                           -Maçanet-Massanes                        ,2,7EBCED,FFFFFF                                    
50T0002R1  ,R1  ,Maçanet-Massanes                        -Molins de Rei                           ,2,7EBCED,FFFFFF                                    
50T0003R2N ,R2N ,Aeroport                                -Maçanet-Massanes                        ,2,D0DF00,FFFFFF                                    
50T0004R2N ,R2N ,Maçanet-Massanes                        -Aeroport                                ,2,D0DF00,FFFFFF                                    
50T0005R4  ,R4  ,Sant Vicenc de Calders                  -Manresa                                 ,2,F7A30D,FFFFFF                                    
50T0006R4  ,R4  ,Manresa                                 -Sant Vicenc de Calders                  ,2,F7A30D,FFFFFF                                    
50T0007R2S ,R2S ,Sant Vicenc de Calders                  -Barcelona-Estació de França             ,2,146520,FFFFFF                                    
50T0008R2S ,R2S ,Barcelona-Estació de França             -Sant Vicenc de Calders                  ,2,146520,FFFFFF                                    
50T0009R2S ,R2S ,Sant Vicenc de Calders                  -Barcelona-Estació de França             ,2,146520,FFFFFF                                    
50T0010R2S ,R2S ,Barcelona-Estació de França             -Sant Vicenc de Calders                  ,2,146520,FFFFFF                                    
50T0011R2S ,R2S ,Sant Vicenc de Calders                  -Barcelona-Estació de França             ,2,146520,FFFFFF                                    
50T0012R2S ,R2S ,Barcelona-Estació de França             -Sant Vicenc de Calders                  ,2,146520,FFFFFF                                    
50T0013R2  ,R2  ,Sant Vicenc de Calders                  -Maçanet-Massanes                        ,2,24A842,FFFFFF                                    
50T0014R2  ,R2  ,Maçanet-Massanes                        -Sant Vicenc de Calders                  ,2,24A842,FFFFFF                                    
50T0015R3  ,R3  ,L'Hospitalet de Llobregat               -Puigcerdà                               ,2,EB4128,FFFFFF                                    
50T0016R3  ,R3  ,Puigcerdà                               -L'Hospitalet de Llobregat               ,2,EB4128,FFFFFF                                    
50T0017R3a ,R3a ,Vic                                     -La Tor de Querol-Enveig                 ,2,EB4128,FFFFFF                                    
50T0018R3a ,R3a ,La Tor de Querol-Enveig                 -Vic                                     ,2,EB4128,FFFFFF                                    
50T0019R4  ,R4  ,Sant Vicenc de Calders                  -Manresa                                 ,2,F7A30D,FFFFFF                                    
50T0020R4  ,R4  ,Manresa                                 -Sant Vicenc de Calders                  ,2,F7A30D,FFFFFF                                    
50T0021R7  ,R7  ,Martorell                               -L'Hospitalet de Llobregat               ,2,B57CBB,FFFFFF                                    
50T0022R7  ,R7  ,L'Hospitalet de Llobregat               -Martorell                               ,2,B57CBB,FFFFFF                                    
50T0023R8  ,R8  ,Martorell                               -Granollers Centre                       ,2,88016A,FFFFFF                                    
50T0024R8  ,R8  ,Granollers Centre                       -Martorell                               ,2,88016A,FFFFFF                                    
60T0001C1  ,C1  ,Abando                                  -Santurtzi                               ,2,E32829,FFFFFF                                    
60T0002C1  ,C1  ,Santurtzi                               -Abando                                  ,2,E32829,FFFFFF                                    
60T0003C2  ,C2  ,Abando                                  -Muskiz                                  ,2,047E33,FFFFFF                                    
60T0004C2  ,C2  ,Muskiz                                  -Abando                                  ,2,047E33,FFFFFF                                    
60T0005C3  ,C3  ,Abando                                  -Orduña                                  ,2,4E90C1,FFFFFF                                    
60T0006C3  ,C3  ,Orduña                                  -Abando                                  ,2,4E90C1,FFFFFF                                    
61T0001C1  ,C1  ,Irun                                    -Brincola                                ,2,DA001C,FFFFFF                                    
61T0002C1  ,C1  ,Brincola                                -Irun                                    ,2,DA001C,FFFFFF                                    
62T0001C1  ,C1  ,Santander                               -Reinosa                                 ,2,E42E35,FFFFFF                                    
62T0002C1  ,C1  ,Reinosa                                 -Santander                               ,2,E42E35,FFFFFF                                    
70T0001C1  ,C1  ,Casetas                                 -Miraflores                              ,2,D90724,FFFFFF                                    
70T0002C1  ,C1  ,Miraflores                              -Casetas                                 ,2,D90724,FFFFFF                                    
70T0003C1  ,C1  ,Casetas                                 -Miraflores                              ,2,D90724,FFFFFF                                    
70T0004C1  ,C1  ,Miraflores                              -Casetas                                 ,2,D90724,FFFFFF                                    
